crater_id,lat,lon,diameter_km,depth_km,depth_diameter_ratio
8,0.0,-180.0,18.212,0.5083,0.0279
11,-17.1002,-179.9972,84.622,2.7386,0.0324
27,35.7201,-179.97,13.164,2.6499,0.2013
37,46.1485,-179.9629,15.177,0.7968,0.0525
38,22.735,-179.96,10.514,0.3925,0.0373
40,55.2102,-179.95,14.516,1.7363,0.1196
42,38.2562,-179.95,18.163,0.8229,0.0453
46,37.5202,-179.94,22.135,1.4226,0.0643
52,47.9767,-179.93,11.371,1.0506,0.0924
57,23.672,-179.92,11.371,0.874,0.0769
69,4.6411,-179.9054,16.458,3.0095,0.1829
70,50.0811,-179.9,10.476,0.4475,0.0427
71,-2.1628,-179.9,24.87,3.3029,0.1328
72,5.09,-179.9,21.803,3.043,0.1396
82,-40.6306,-179.88,32.856,0.5,0.0152
95,-60.081,-179.8716,20.071,0.812,0.0405
124,8.9237,-179.86,13.398,0.178,0.0133
149,-4.1489,-179.85,21.385,2.9371,0.1373
167,61.3735,-179.84,18.222,0.5,0.0274
182,12.9781,-179.8379,19.8,1.4478,0.0731
206,54.3513,-179.83,36.555,1.7875,0.0489
236,61.8943,-179.82,14.058,1.1616,0.0826
264,-13.5287,-179.81,70.088,4.6286,0.066
390,35.2753,-179.76,26.619,0.1928,0.0072
405,-18.6844,-179.7538,92.136,3.6035,0.0391
426,55.0002,-179.75,13.016,1.3848,0.1064
427,42.0626,-179.75,13.041,0.8274,0.0634
488,0.2542,-179.7255,15.882,0.371,0.0234
609,8.1401,-179.7,13.089,0.6055,0.0463
646,58.3181,-179.69,11.1,0.3445,0.031
664,41.4402,-179.6838,13.942,1.1138,0.0799
682,-11.42,-179.6806,15.511,0.9305,0.06
684,-8.7442,-179.68,17.927,2.1489,0.1199
690,-63.5396,-179.68,97.748,2.0,0.0205
718,47.3101,-179.67,10.664,0.402,0.0377
744,40.5501,-179.66,11.761,0.6981,0.0594
752,57.3439,-179.656,11.972,0.606,0.0506
768,14.84,-179.65,14.526,2.1471,0.1478
802,55.6393,-179.6402,15.855,2.2459,0.1417
838,31.7665,-179.63,94.389,4.2468,0.045
897,59.7789,-179.612,13.722,1.636,0.1192
971,53.1641,-179.59,10.5,0.9846,0.0938
973,67.596,-179.59,15.863,0.7095,0.0447
991,22.8372,-179.582,11.325,0.3215,0.0284
1011,35.4845,-179.578,13.266,0.851,0.0641
1055,3.2814,-179.5634,47.391,2.2289,0.047
1061,13.6367,-179.562,12.189,2.4751,0.2031
1075,42.8771,-179.56,11.364,0.5903,0.0519
1076,21.425,-179.56,12.545,0.6138,0.0489
1077,37.4301,-179.56,12.866,1.0,0.0777
1093,-28.2064,-179.5544,10.462,0.7605,0.0727
1105,33.5311,-179.55,50.159,3.5763,0.0713
1137,1.6109,-179.54,20.651,1.458,0.0706
1150,-31.3136,-179.5346,10.538,1.0683,0.1014
1235,4.9796,-179.51,21.238,0.554,0.0261
1248,8.7439,-179.5041,16.611,0.8368,0.0504
1267,44.9621,-179.5,11.104,0.5203,0.0469
1268,-8.0494,-179.5,25.912,7.2378,0.2793
1343,-0.6724,-179.4739,20.205,0.7603,0.0376
1397,59.4644,-179.46,10.348,1.3089,0.1265
1427,39.7686,-179.451,14.392,1.0114,0.0703
1435,6.1018,-179.45,10.781,1.0673,0.099
1441,-9.6935,-179.4474,16.552,1.24,0.0749
1445,44.0246,-179.4454,18.727,2.1546,0.1151
1464,-3.49,-179.44,12.068,1.8595,0.1541
1505,40.1861,-179.43,11.705,0.2098,0.0179
1560,20.2357,-179.413,11.66,1.3675,0.1173
1572,36.0398,-179.4108,17.963,3.8169,0.2125
1580,56.9491,-179.41,11.205,0.7303,0.0652
1639,-10.3433,-179.3907,13.387,0.4383,0.0327
1644,-2.2198,-179.39,81.616,4.2959,0.0526
1728,58.4381,-179.37,10.741,0.4299,0.04
1753,64.47,-179.361,14.426,1.8738,0.1299
1796,0.87,-179.35,12.994,0.5226,0.0402
1814,-15.6484,-179.3438,11.776,0.4678,0.0397
1827,4.7252,-179.34,12.814,1.0873,0.0848
1856,-33.041,-179.33,48.925,2.1153,0.0432
1886,22.1763,-179.32,36.622,3.0194,0.0824
1901,46.1191,-179.314,12.79,0.4915,0.0384
1922,-13.5617,-179.3086,10.941,1.8811,0.1719
1929,-45.3801,-179.307,11.091,1.5598,0.1406
1962,-10.7995,-179.3,15.276,1.1591,0.0759
1971,65.3634,-179.298,11.418,0.887,0.0777
2035,-31.5958,-179.276,10.898,0.95,0.0872
2101,2.1233,-179.2524,16.873,1.0878,0.0645
2103,50.0348,-179.252,11.103,0.7984,0.0719
2243,4.3543,-179.212,11.001,1.024,0.0931
2248,-9.8718,-179.21,12.364,1.2074,0.0977
2298,-9.3012,-179.195,10.472,0.4785,0.0457
2299,38.383,-179.195,11.895,0.6653,0.0559
2320,72.1561,-179.191,10.689,1.3336,0.1248
2334,15.0316,-179.1879,13.271,0.6125,0.0462
2344,-60.4429,-179.1841,14.489,1.5578,0.1075
2482,47.3915,-179.15,26.219,2.671,0.1019
2489,12.6579,-179.1469,30.027,1.5508,0.0516
2493,4.0414,-179.145,12.17,0.6994,0.0575
2522,19.8219,-179.134,11.692,0.6356,0.0544
2535,40.611,-179.132,13.871,0.7115,0.0513
2550,29.2307,-179.128,11.132,0.6868,0.0617
2582,-3.9196,-179.1187,14.5,0.4088,0.0282
2605,-45.3777,-179.1121,11.872,1.1985,0.101
2615,-25.1052,-179.11,105.56,2.6331,0.0249
2618,52.4529,-179.1087,15.101,1.4155,0.0937
2624,-1.2013,-179.1052,18.992,1.4189,0.0747
2631,-2.5308,-179.1036,16.826,0.9884,0.0587
2652,61.597,-179.0972,10.596,1.307,0.1233
2668,46.0133,-179.094,10.116,0.9419,0.0931
2680,63.0323,-179.0917,18.692,1.9498,0.1043
2698,-59.5247,-179.086,13.254,0.9826,0.0741
2721,52.9303,-179.08,13.564,0.2498,0.0184
2722,-4.293,-179.08,69.629,2.4385,0.035
2747,41.111,-179.073,11.784,1.0733,0.0911
2771,23.7126,-179.067,11.389,1.233,0.1083
2809,28.8041,-179.0552,13.897,0.7628,0.0549
2901,54.017,-179.028,12.506,1.5258,0.122
2902,0.4713,-179.028,30.518,1.5,0.0492
2928,49.5007,-179.021,13.457,1.691,0.1257
2937,3.4501,-179.019,12.604,1.8854,0.1496
2941,20.9843,-179.017,11.083,1.5468,0.1396
2997,10.4917,-179.003,12.54,1.3233,0.1055
3121,7.5397,-178.972,12.741,1.0553,0.0828
3150,-3.4992,-178.9667,15.682,0.6205,0.0396
3167,29.8006,-178.9617,23.675,3.6159,0.1527
