crater_id,lat,lon,diam_km,diam_major_km,diam_minor_km,eccentricity,ellipticity,rim_arc_fraction
00-1-000000,-19.8304,-95.243,940.96,975.874,905.968,0.371666,1.07716,0.568712
00-1-000001,44.7763,-31.398,249.84,289.44,245.786,0.528111,1.17761,0.627328
00-1-000002,57.0866,82.0995,599.778,632.571,561.435,0.460721,1.1267,0.492373
00-1-000003,1.96124,-129.378,558.762,568.529,546.378,0.276416,1.04054,0.595221
00-1-000004,-49.1496,-93.653,654.332,665.24,636.578,0.290365,1.04502,0.545924
00-1-000005,-35.6024,-151.514,505.312,505.313,500.675,0.135169,1.00926,0.557812
00-1-000006,18.5231,175.55,613.901,630.708,599.553,0.31041,1.05196,0.621607
00-1-000007,26.8611,149.162,634.744,638.324,629.685,0.163971,1.01372,0.615811
00-1-000008,-4.38375,-157.472,429.664,430.221,426.394,0.133084,1.00898,0.741016
00-1-000009,-32.6805,163.988,333.895,355.845,319.81,0.438496,1.11268,0.585515
00-1-000010,-57.2082,135.54,318.375,324.868,312.342,0.275005,1.0401,0.739815
00-1-000011,-55.8051,-45.666,354.103,361.984,337.898,0.358677,1.07128,0.497896
00-1-000012,-52.6979,177.587,2491.87,2612.57,2373.25,0.418111,1.10084,0.797656
00-1-000013,8.25292,28.416,907.122,959.59,746.815,0.627936,1.28491,0.5101
00-1-000014,-22.442,-15.389,659.206,735.903,573.493,0.626644,1.28319,0.805077
00-1-000015,26.2091,147.494,423.869,442.05,409.136,0.378644,1.08045,0.85748
00-1-000016,16.3974,59.4647,1114.52,1223.79,1098.04,0.441541,1.11453,0.185623
00-1-000017,27.0221,22.8638,866.199,891.294,792.873,0.456789,1.12413,0.204433
00-1-000018,-1.39324,86.1165,954.724,979.968,942.619,0.273444,1.03962,0.177839
00-1-000019,-4.78646,-68.797,463.755,451.721,374.793,0.558211,1.20526,0.164592
00-1-000020,45.4832,152.893,229.381,233.763,225.266,0.267158,1.03772,0.287867
00-1-000021,13.9617,-158.361,429.904,452.586,414.201,0.403029,1.09267,0.0868529
00-1-000022,-69.0838,111.708,296.911,349.563,292.909,0.545778,1.19342,0.273877
00-1-000023,-22.5644,-6.591,214.053,234.321,212.619,0.420297,1.10207,0.367041
00-1-000024,40.1834,-108.037,209.32,200.054,164.58,0.568506,1.21554,0.212152
00-1-000025,34.2737,105.487,208.894,210.027,208.071,0.136163,1.0094,0.154597
00-1-000026,-57.2199,163.363,327.78,329.476,317.547,0.26665,1.03757,0.37944
00-1-000027,51.1265,-122.694,659.596,704.006,574.913,0.577161,1.22454,0.0291177
00-1-000028,-2.52891,52.8579,652.877,794.235,625.922,0.615571,1.2689,0.0381772
00-1-000029,-25.9578,-39.401,796.356,866.747,748.937,0.503358,1.1573,0.0952986
00-1-000030,-15.8284,34.7632,871.995,885.658,851.032,0.27688,1.04069,0.346515
00-1-000031,34.2595,-17.144,1198.39,1212.14,1186.65,0.204032,1.02149,0.255605
00-1-000032,-51.6705,23.5685,444.257,449.84,325.602,0.689991,1.38156,0.103929
00-1-000033,-17.3838,-64.809,438.1,432.56,400.92,0.375421,1.07892,0.0275706
01-1-000000,61.0386,-171.974,13.5213,20.3166,12.2268,0.798638,1.66165,0.782975
01-1-000001,60.989,-174.405,13.0119,13.1538,11.9469,0.418435,1.10102,0.714671
01-1-000002,60.8108,-176.954,27.2383,27.3152,26.9785,0.156511,1.01248,0.919356
01-1-000003,60.289,-178.015,34.0852,36.4163,34.0002,0.358174,1.07106,0.442108
01-1-000004,60.0685,179.072,9.41146,9.60987,8.57067,0.452309,1.12125,0.715315
01-1-000005,61.2535,178.486,20.4314,22.4197,18.7264,0.549852,1.19723,0.857934
01-1-000006,61.1238,177.714,9.70902,9.80141,9.4815,0.253403,1.03374,0.778118
01-1-000007,60.942,176.478,10.5378,10.6178,10.4487,0.177726,1.01618,0.978289
01-1-000008,61.894,-179.825,14.0578,14.5648,13.4532,0.383158,1.08262,0.932164
01-1-000009,61.5267,173.07,14.2656,14.6119,13.9089,0.306448,1.05054,0.982667
01-1-000010,60.8844,165.81,17.3539,17.644,16.7827,0.30863,1.05132,0.751627
01-1-000011,61.2513,166.653,12.0913,13.6964,10.4524,0.646228,1.31037,0.893328
01-1-000012,60.5429,160.113,10.7721,11.4719,10.0567,0.481147,1.14072,1
01-1-000013,61.3704,161.061,8.96958,9.16241,8.7209,0.306679,1.05063,0.882792
01-1-000014,61.0881,161.596,11.7217,12.0393,11.2615,0.353601,1.06907,0.803193
01-1-000015,61.1596,157.334,18.6929,18.9127,18.0039,0.306256,1.05048,0.717732
01-1-000016,61.3554,162.487,8.6585,8.83127,8.44996,0.290674,1.04513,0.814288
01-1-000017,60.9464,163.512,11.0896,11.3137,10.8491,0.283614,1.04282,0.98077
01-1-000018,61.6746,164.399,8.99574,9.10035,8.77864,0.263541,1.03665,0.81594
01-1-000019,61.5794,165.132,11.8502,12.4274,11.5683,0.36534,1.07426,0.805432
01-1-000020,61.4953,168.617,11.6309,12.3927,10.2556,0.561393,1.20839,0.798794
01-1-000021,62.1328,170.382,8.82122,9.11344,8.52097,0.354677,1.06953,0.968892
01-1-000022,62.3499,172.394,9.52443,9.77825,9.27024,0.31813,1.0548,1
01-1-000023,63.3086,171.441,11.5848,12.1701,10.6057,0.490473,1.1475,0.80958
01-1-000024,63.0361,173.628,9.67902,10.2643,8.89293,0.499363,1.15421,0.716361
01-1-000025,62.005,173.287,8.72143,8.95658,8.46291,0.327413,1.05833,0.958093
01-1-000026,61.6941,172.365,83.2894,83.6108,82.7636,0.141995,1.01024,0.95062
01-1-000027,62.8265,177.193,14.5861,16.2786,12.4893,0.641382,1.3034,0.837822
01-1-000028,62.5616,175.174,8.81791,10.4205,7.93042,0.648708,1.314,0.835889
01-1-000029,62.465,177.632,34.1025,35.281,31.603,0.444552,1.11638,0.811082
01-1-000030,63.3087,179.725,14.2857,14.7482,13.6439,0.379672,1.08094,0.808584
01-1-000031,63.1586,-175.837,23.9923,24.781,23.0168,0.370559,1.07665,0.933274
01-1-000032,62.9907,-171.105,19.1243,19.7899,18.4405,0.362928,1.07317,1
01-1-000033,61.9458,-170.535,11.5765,11.887,11.2451,0.324155,1.05708,0.789975
01-1-000034,62.5659,-169.406,10.6494,11.2584,10.073,0.446651,1.11768,0.897485
