Flags_data,ID,Lat,Lon,Diam_km,Age
CE1,1,-8.50337,-66.811,19.98752996,2
CE1,2,-7.4087,8.20964,19.98687569,5
CE1,3,64.3405,67.7286,19.98574376,5
CE1,4,-32.5173,34.8202,19.98545965,2
CE1,5,21.5865,80.9997,19.98487702,2
CE1,6,-43.7628,-161.503,19.97986841,3
CE1,7,-22.2368,-147.334,19.97490114,2
CE1,8,22.5415,125.033,19.97183016,5
CE1,9,6.313,97.6414,19.96589618,2
CE1,10,-6.43375,-151.573,19.9640664,5
CE1,11,18.4669,167.211,19.96340405,5
CE1,12,-10.2261,84.1898,19.96175104,2
CE1,13,61.0866,-104.634,19.96120934,2
CE1,14,-51.2853,39.0235,19.95697708,3
CE1,15,52.8934,114.256,19.95368283,4
CE1,16,-50.8355,137.763,19.94602058,2
CE1,17,-53.8455,-85.823,19.94431439,5
CE1,18,7.96887,154.697,19.93462881,5
CE1,19,40.2336,101.614,19.93379646,3
CE1,20,-50.1436,-147.141,19.93267937,2
CE1,21,16.7605,78.2263,19.93225102,3
CE1,22,36.5241,82.7665,19.92926004,2
CE1,23,31.0326,84.351,19.92073171,5
CE1,24,-50.0138,-171.144,19.91677331,2
CE1,25,39.7192,149.871,19.90557292,5
CE1,26,-22.3314,15.8089,19.90216572,2
CE1,27,-51.697,82.5375,19.89366555,3
CE1,28,7.93639,-172.264,19.8928453,5
CE1,29,-0.039676,174.547,19.89066806,5
CE1,30,19.6013,-117.209,19.88341337,2
CE1,31,-2.11796,80.976,19.88191495,2
CE1,32,-6.90749,82.1842,19.88014265,4
CE1,33,21.1351,161.45,19.87487359,5
CE1,34,10.5131,109.953,19.87057958,2
CE1,35,-26.2325,93.0424,19.87026733,2
CE1,36,-48.145,174.757,19.86867727,2
CE1,37,-43.1584,-17.258,19.86782791,4
CE1,38,-53.9839,-69.654,19.86479098,2
CE1,39,-53.5301,27.8851,19.86203984,3
CE1,40,-18.4602,-135.401,19.85872955,2
CE1,41,-56.1897,27.8848,19.84998707,3
CE1,42,5.92381,-81.605,19.84923142,2
CE1,43,6.05847,-170.798,19.84757412,2
CE1,44,-12.1017,-133.196,19.83410377,2
CE1,45,-44.0278,-156.945,19.83367345,2
CE1,46,-46.84,167.201,19.83350558,5
CE1,47,-11.0763,108.88,19.82942047,1
CE1,48,13.8671,107.102,19.81082092,2
CE1,49,-29.1672,157.38,19.80906527,5
CE1,50,48.7691,98.7523,19.80391191,5
CE1,51,-23.0442,27.9862,19.79423022,5
CE1,52,-17.9659,-73.33,19.78768567,2
CE1,53,-19.0371,12.9054,19.78710948,2
CE1,54,-40.9406,-13.213,19.78417505,2
CE1,55,26.0558,165.704,19.7811088,5
CE1,56,-32.242,-124.161,19.77358445,2
CE1,57,18.0922,-119.61,19.76745229,2
CE1,58,16.3555,149.226,19.765902,5
CE1,59,-20.3991,115.822,19.7589047,1
CE1,60,1.78857,129.275,19.7567622,5
CE1,61,-51.4744,-141.112,19.75555568,2
CE1,62,-27.7354,-4.639,19.75491769,2
CE1,63,-47.7793,22.1398,19.74727348,2
CE1,64,-8.3981,124.952,19.74540351,2
CE1,65,-44.6899,1.83163,19.73438964,2
CE1,66,-50.8954,54.9543,19.72671397,5
CE1,67,-45.6193,-152.372,19.7260009,3
CE1,68,-33.3511,13.9092,19.7257142,2
CE1,69,-9.94468,139.473,19.72404184,2
CE1,70,-6.07732,-168.209,19.72176952,5
CE1,71,42.3391,101.263,19.72077384,4
CE1,72,-33.726,3.90098,19.71389619,4
CE1,73,-22.677,146.106,19.71180059,2
CE1,74,27.0347,-103.663,19.71088096,2
CE1,75,15.9497,-99.303,19.70956863,2
CE1,76,-33.3607,153.024,19.70676622,2
CE1,77,33.0094,151.973,19.70087701,3
CE1,78,-43.5738,44.8632,19.696658,3
CE1,79,1.94165,-157.671,19.69016475,5
CE1,80,-5.08368,-150.337,19.69003696,5
CE1,81,11.8384,-120.293,19.68364598,5
CE1,82,-13.2845,-136.04,19.67387818,2
CE1,83,14.0336,-166.365,19.67309049,5
CE1,84,19.4071,-90.94,19.67235266,2
CE1,85,-39.9053,101.53,19.67168733,3
CE1,86,-11.7759,166.556,19.66976701,2
CE1,87,-33.1807,97.1823,19.66962706,4
CE1,88,-48.5956,-156.447,19.66469879,3
CE1,89,30.0157,-165.908,19.66163234,2
CE1,90,25.6837,-103.225,19.66046595,2
CE1,91,-26.1586,31.803,19.65203217,2
CE1,92,-19.6132,112.738,19.65163521,1
