lon,lat,temp_noon_K,temp_midnight_K,temp_diff_K
-179.75,-89.75,169.5682,92.3449,77.2233
-179.75,-89.25,223.5388,58.3161,165.2227
-179.75,-88.75,148.1168,41.8690,106.2478
-179.75,-88.25,153.3262,43.7719,109.5543
-179.75,-87.75,229.2457,70.0496,159.1961
-179.75,-87.25,205.1502,64.3814,140.7688
-179.75,-86.75,179.2324,59.4842,119.7482
-179.75,-86.25,161.3921,58.2222,103.1699
-179.75,-85.75,236.0590,67.1548,168.9042
-179.75,-85.25,126.0972,55.1052,70.9920
-179.75,-84.75,153.6362,57.3504,96.2858
-179.75,-84.25,201.8552,59.6942,142.1610
-179.75,-83.75,201.7349,60.6420,141.0929
-179.75,-83.25,240.2197,69.8828,170.3369
-179.75,-82.75,245.6144,72.0329,173.5815
-179.75,-82.25,234.3793,67.2292,167.1501
-179.75,-81.75,249.4209,72.4310,176.9899
-179.75,-81.25,236.4442,69.2006,167.2436
-179.75,-80.75,238.8733,71.4707,167.4026
-179.75,-80.25,230.2978,69.6645,160.6333
-179.75,-79.75,248.1622,74.0154,174.1468
-179.75,-79.25,230.3200,72.2426,158.0774
-179.75,-78.75,263.0800,77.4411,185.6389
-179.75,-78.25,246.6436,73.5033,173.1403
-179.75,-77.75,255.8450,71.7713,184.0737
-179.75,-77.25,272.2063,74.1617,198.0446
-179.75,-76.75,272.3565,77.5957,194.7608
-179.75,-76.25,263.7771,75.8527,187.9244
-179.75,-75.75,240.9304,68.4494,172.4810
-179.75,-75.25,277.3488,79.6191,197.7297
-179.75,-74.75,281.3553,81.1477,200.2076
-179.75,-74.25,271.4593,78.3185,193.1408
-179.75,-73.75,267.0373,75.6389,191.3984
-179.75,-73.25,286.7927,81.9092,204.8835
-179.75,-72.75,288.7496,84.4995,204.2501
-179.75,-72.25,255.2092,79.3736,175.8356
-179.75,-71.75,283.2964,81.4199,201.8765
-179.75,-71.25,281.8965,79.8488,202.0477
-179.75,-70.75,287.9969,81.5941,206.4028
-179.75,-70.25,278.6140,80.0726,198.5414
-179.75,-69.75,287.0638,81.6601,205.4037
-179.75,-69.25,301.0956,87.3809,213.7147
-179.75,-68.75,308.6865,86.9396,221.7469
-179.75,-68.25,301.5638,84.6368,216.9270
-179.75,-67.75,304.4451,86.0326,218.4125
-179.75,-67.25,305.6479,84.4650,221.1829
-179.75,-66.75,303.6469,84.4930,219.1539
-179.75,-66.25,299.3383,82.5457,216.7926
-179.75,-65.75,255.5599,75.7213,179.8386
-179.75,-65.25,321.0806,89.7769,231.3037
-179.75,-64.75,307.0390,86.2336,220.8054
-179.75,-64.25,317.1472,86.9244,230.2228
-179.75,-63.75,309.5034,85.3943,224.1091
-179.75,-63.25,312.8344,86.3036,226.5308
-179.75,-62.75,313.0118,86.4485,226.5633
-179.75,-62.25,304.7985,84.0096,220.7889
-179.75,-61.75,306.6119,86.5485,220.0634
-179.75,-61.25,323.2581,88.2088,235.0493
-179.75,-60.75,309.5981,87.9666,221.6315
-179.75,-60.25,323.3489,88.7959,234.5530
-179.75,-59.75,320.5201,87.8419,232.6782
-179.75,-59.25,321.4430,89.5926,231.8504
-179.75,-58.75,324.7468,89.6150,235.1318
-179.75,-58.25,325.4341,89.6450,235.7891
-179.75,-57.75,326.4635,89.3154,237.1481
-179.75,-57.25,326.9601,89.2494,237.7107
-179.75,-56.75,330.4151,89.8777,240.5374
-179.75,-56.25,328.7315,89.6226,239.1089
-179.75,-55.75,330.0331,89.8948,240.1383
-179.75,-55.25,329.8279,89.2234,240.6045
-179.75,-54.75,330.4860,88.2233,242.2627
-179.75,-54.25,334.6384,90.0197,244.6187
-179.75,-53.75,339.6878,90.7285,248.9593
-179.75,-53.25,338.3027,89.8347,248.4680
-179.75,-52.75,336.7266,90.4673,246.2593
-179.75,-52.25,335.0157,89.6392,245.3765
-179.75,-51.75,340.7748,91.6920,249.0828
-179.75,-51.25,338.9303,90.5516,248.3787
-179.75,-50.75,337.9679,90.8543,247.1136
-179.75,-50.25,347.3584,94.2763,253.0821
-179.75,-49.75,344.1271,94.0330,250.0941
-179.75,-49.25,349.6677,95.5553,254.1124
-179.75,-48.75,355.8016,95.4264,260.3752
-179.75,-48.25,335.5982,93.6319,241.9663
-179.75,-47.75,348.6205,94.9859,253.6346
-179.75,-47.25,348.2940,91.9649,256.3291
-179.75,-46.75,348.4794,92.2183,256.2611
-179.75,-46.25,350.3538,92.5017,257.8521
-179.75,-45.75,354.4151,94.7471,259.6680
-179.75,-45.25,353.5149,95.8842,257.6307
-179.75,-44.75,349.5395,94.9703,254.5692
-179.75,-44.25,356.2387,93.9219,262.3168
-179.75,-43.75,352.5034,94.4280,258.0754
-179.75,-43.25,360.5473,94.1087,266.4386
-179.75,-42.75,347.9601,93.5749,254.3852
-179.75,-42.25,367.1098,96.4035,270.7063
-179.75,-41.75,369.4809,96.9208,272.5601
-179.75,-41.25,365.1556,95.8304,269.3252
-179.75,-40.75,362.3053,95.4861,266.8192
-179.75,-40.25,362.3661,95.2083,267.1578
-179.75,-39.75,362.3855,95.1996,267.1859
-179.75,-39.25,363.1240,95.5248,267.5992
-179.75,-38.75,364.4645,95.7041,268.7604
-179.75,-38.25,365.4558,96.2674,269.1884
-179.75,-37.75,366.7028,95.6270,271.0758
-179.75,-37.25,368.3985,96.9056,271.4929
-179.75,-36.75,369.7819,97.3159,272.4660
-179.75,-36.25,370.4289,98.2689,272.1600
-179.75,-35.75,370.3431,97.1247,273.2184
-179.75,-35.25,368.0689,96.2169,271.8520
-179.75,-34.75,362.1357,95.2075,266.9282
-179.75,-34.25,365.3037,94.5447,270.7590
-179.75,-33.75,371.6317,96.3246,275.3071
-179.75,-33.25,374.8459,95.7476,279.0983
-179.75,-32.75,370.2703,95.5430,274.7273
-179.75,-32.25,374.0538,97.2050,276.8488
-179.75,-31.75,370.3023,97.1693,273.1330
-179.75,-31.25,369.2228,96.7791,272.4437
-179.75,-30.75,383.1036,98.2911,284.8125
-179.75,-30.25,379.3757,97.7436,281.6321
-179.75,-29.75,377.2869,96.8981,280.3888
-179.75,-29.25,377.2485,96.8457,280.4028
-179.75,-28.75,376.1111,96.4658,279.6453
-179.75,-28.25,372.8344,96.2608,276.5736
-179.75,-27.75,369.6697,95.3302,274.3395
-179.75,-27.25,376.9560,97.8529,279.1031
-179.75,-26.75,383.2853,98.0113,285.2740
-179.75,-26.25,385.5480,98.1450,287.4030
-179.75,-25.75,380.8820,98.5768,282.3052
-179.75,-25.25,380.6586,98.0855,282.5731
-179.75,-24.75,379.7936,98.0571,281.7365
-179.75,-24.25,380.8306,97.9948,282.8358
-179.75,-23.75,382.1858,98.0050,284.1808
-179.75,-23.25,376.2919,96.4767,279.8152
-179.75,-22.75,379.1976,98.1833,281.0143
-179.75,-22.25,385.1227,98.9230,286.1997
-179.75,-21.75,384.2246,98.4350,285.7896
-179.75,-21.25,384.2045,99.7640,284.4405
-179.75,-20.75,380.1965,98.1902,282.0063
-179.75,-20.25,386.7166,99.2308,287.4858
-179.75,-19.75,385.5462,99.7852,285.7610
-179.75,-19.25,384.1812,100.3536,283.8276
-179.75,-18.75,383.3742,98.6506,284.7236
-179.75,-18.25,388.9403,100.0104,288.9299
-179.75,-17.75,386.5500,99.5310,287.0190
-179.75,-17.25,385.2049,99.4278,285.7771
-179.75,-16.75,385.3578,100.1288,285.2290
-179.75,-16.25,383.4335,99.6963,283.7372
-179.75,-15.75,383.2267,99.9254,283.3013
-179.75,-15.25,384.6057,100.2774,284.3283
-179.75,-14.75,385.4094,100.1730,285.2364
-179.75,-14.25,390.2319,101.1344,289.0975
-179.75,-13.75,386.9510,99.7548,287.1962
-179.75,-13.25,387.7726,100.1236,287.6490
-179.75,-12.75,382.8817,100.0030,282.8787
-179.75,-12.25,388.1819,100.7461,287.4358
-179.75,-11.75,389.3313,101.2255,288.1058
-179.75,-11.25,386.5286,101.3233,285.2053
-179.75,-10.75,388.0244,102.3182,285.7062
-179.75,-10.25,387.2760,100.6933,286.5827
-179.75,-9.75,388.3719,100.8540,287.5179
-179.75,-9.25,388.4884,100.5845,287.9039
-179.75,-8.75,388.5197,100.2352,288.2845
-179.75,-8.25,387.6400,103.3180,284.3220
-179.75,-7.75,385.9706,100.8734,285.0972
-179.75,-7.25,385.6237,100.7434,284.8803
-179.75,-6.75,389.1328,102.3935,286.7393
-179.75,-6.25,389.3666,101.6612,287.7054
-179.75,-5.75,388.6891,101.5001,287.1890
-179.75,-5.25,387.6930,101.6845,286.0085
-179.75,-4.75,384.4641,101.5230,282.9411
-179.75,-4.25,385.8042,103.0291,282.7751
-179.75,-3.75,383.3107,101.7968,281.5139
-179.75,-3.25,386.6932,101.4646,285.2286
-179.75,-2.75,389.3110,101.5760,287.7350
-179.75,-2.25,390.9652,102.3139,288.6513
-179.75,-1.75,387.7819,101.3810,286.4009
-179.75,-1.25,388.7170,101.2882,287.4288
-179.75,-0.75,387.1741,101.8664,285.3077
-179.75,-0.25,388.1188,101.7829,286.3359
-179.75,0.25,388.2278,102.1770,286.0508
-179.75,0.75,388.3529,101.7244,286.6285
-179.75,1.25,387.7563,101.7720,285.9843
-179.75,1.75,388.1856,101.5390,286.6466
-179.75,2.25,387.2505,101.8434,285.4071
-179.75,2.75,387.0256,101.3678,285.6578
-179.75,3.25,387.3012,100.9393,286.3619
-179.75,3.75,387.5042,100.7669,286.7373
-179.75,4.25,383.3927,101.9250,281.4677
-179.75,4.75,385.6059,103.5667,282.0392
-179.75,5.25,388.1842,101.8340,286.3502
-179.75,5.75,387.3134,101.1964,286.1170
-179.75,6.25,386.7529,100.8448,285.9081
-179.75,6.75,389.3520,101.3393,288.0127
-179.75,7.25,389.9812,100.8522,289.1290
-179.75,7.75,388.5639,100.3811,288.1828
-179.75,8.25,386.9597,100.8727,286.0870
-179.75,8.75,386.4847,100.5577,285.9270
-179.75,9.25,384.5474,101.4498,283.0976
-179.75,9.75,384.0027,101.6087,282.3940
-179.75,10.25,384.3396,100.8022,283.5374
-179.75,10.75,386.8784,100.5079,286.3705
-179.75,11.25,386.0091,100.1040,285.9051
-179.75,11.75,387.1483,100.4667,286.6816
-179.75,12.25,386.3499,100.5677,285.7822
-179.75,12.75,384.1058,99.2290,284.8768
-179.75,13.25,383.7768,100.7180,283.0588
-179.75,13.75,380.8464,101.9371,278.9093
-179.75,14.25,382.9490,100.9295,282.0195
-179.75,14.75,381.4913,101.5829,279.9084
-179.75,15.25,381.7024,100.4956,281.2068
-179.75,15.75,381.7800,101.0074,280.7726
-179.75,16.25,381.7818,99.9506,281.8312
-179.75,16.75,381.4448,101.2893,280.1555
-179.75,17.25,381.1969,101.2351,279.9618
-179.75,17.75,383.2440,101.2909,281.9531
-179.75,18.25,382.0217,100.8972,281.1245
-179.75,18.75,381.1644,100.3850,280.7794
-179.75,19.25,381.0519,100.6927,280.3592
-179.75,19.75,379.3479,100.3911,278.9568
-179.75,20.25,379.1680,99.9977,279.1703
-179.75,20.75,380.7953,100.0849,280.7104
-179.75,21.25,380.5032,100.0448,280.4584
-179.75,21.75,376.7680,98.7179,278.0501
-179.75,22.25,377.5212,99.1622,278.3590
-179.75,22.75,374.6834,102.0261,272.6573
-179.75,23.25,374.5870,98.9605,275.6265
-179.75,23.75,379.1205,99.5169,279.6036
-179.75,24.25,377.5846,99.7579,277.8267
-179.75,24.75,370.0397,99.2087,270.8310
-179.75,25.25,377.0820,100.5057,276.5763
-179.75,25.75,380.9593,101.7890,279.1703
-179.75,26.25,374.1704,99.9736,274.1968
-179.75,26.75,372.4944,99.4846,273.0098
-179.75,27.25,378.0804,100.5408,277.5396
-179.75,27.75,374.0565,99.8910,274.1655
-179.75,28.25,371.8041,100.3312,271.4729
-179.75,28.75,373.0127,99.0158,273.9969
-179.75,29.25,373.6111,99.2886,274.3225
-179.75,29.75,377.1359,99.9472,277.1887
-179.75,30.25,365.4397,96.9269,268.5128
-179.75,30.75,359.6439,96.7077,262.9362
-179.75,31.25,366.3251,99.0196,267.3055
-179.75,31.75,367.4822,99.4588,268.0234
-179.75,32.25,370.5499,99.3203,271.2296
-179.75,32.75,367.4322,98.9258,268.5064
-179.75,33.25,365.8372,98.9193,266.9179
-179.75,33.75,370.1930,99.7800,270.4130
-179.75,34.25,369.2001,100.3994,268.8007
-179.75,34.75,359.5746,98.3903,261.1843
-179.75,35.25,359.3082,97.9141,261.3941
-179.75,35.75,359.1288,97.9879,261.1409
-179.75,36.25,362.4260,98.8579,263.5681
-179.75,36.75,361.0206,97.7465,263.2741
-179.75,37.25,353.3540,97.4209,255.9331
-179.75,37.75,361.1160,98.4400,262.6760
-179.75,38.25,357.6192,98.4758,259.1434
-179.75,38.75,353.2929,97.1145,256.1784
-179.75,39.25,357.3193,98.5631,258.7562
-179.75,39.75,353.6233,97.1853,256.4380
-179.75,40.25,354.6353,97.3921,257.2432
-179.75,40.75,355.6548,97.4110,258.2438
-179.75,41.25,352.1937,95.9803,256.2134
-179.75,41.75,354.8728,97.8992,256.9736
-179.75,42.25,353.3163,96.8405,256.4758
