name,kind,lat,lon,terrain,year,note
Apollo 11,着陸(有人),0.6741,23.4730,海(静かの海),1969,初の有人着陸。平坦な海を選んだ
Apollo 12,着陸(有人),-3.0138,-23.4193,海(嵐の大洋),1969,Surveyor 3 のそばにピンポイント着陸
Apollo 14,着陸(有人),-3.6454,-17.4714,陸(フラマウロ高地),1971,Imbrium 噴出物の丘陵地
Apollo 15,着陸(有人),26.1322,3.6340,海と陸の境(ハドリー谷),1971,アペニン山脈のふもと。地質の多様性ねらい
Apollo 16,着陸(有人),-8.9734,15.4986,陸(デカルト高地),1972,唯一の高地サイト
Apollo 17,着陸(有人),20.1881,30.7748,海と陸の境(タウルス・リットロウ),1972,最後の有人着陸。橙色土壌を発見
Luna 16,着陸(サンプル回収),-0.5137,56.3638,海(豊かの海),1970,無人サンプルリターン
Luna 17,着陸(ローバー),38.2376,-35.0016,海(雨の海),1970,ルノホート1号
Luna 20,着陸(サンプル回収),3.7863,56.6242,陸(アポロニウス高地),1972,高地サンプル
Luna 21,着陸(ローバー),25.9994,30.4076,海と陸の境(ルモニエ),1973,ルノホート2号
Luna 24,着陸(サンプル回収),12.7142,62.2129,海(危機の海),1976,深部コア採取
Surveyor 1,着陸(無人),-2.4745,-43.3398,海(嵐の大洋),1966,軟着陸の実証
Surveyor 3,着陸(無人),-3.0162,-23.4180,海(嵐の大洋),1967,のちに Apollo 12 が訪問
Surveyor 5,着陸(無人),1.4551,23.1943,海(静かの海),1967,α線分析で玄武岩を確認
Surveyor 6,着陸(無人),0.4742,-1.4275,海(中央の入江),1967,月面で初のロケット再点火
Surveyor 7,着陸(無人),-40.9812,-11.5127,陸(ティコの外縁),1968,唯一の高地サーベイヤー
Chang'e 3,着陸(ローバー),44.1214,-19.5117,海(雨の海),2013,玉兎号。若い溶岩流の上
Chang'e 4,着陸(ローバー),-45.4446,177.5991,海(裏側・フォン・カルマン),2019,人類初の裏側着陸。高地の盆地だが着地点は玄武岩で埋まった床
Chang'e 5,着陸(サンプル回収),43.0576,-51.9161,海(嵐の大洋北部),2020,約20億年前の若い玄武岩を持ち帰った
Chang'e 6,着陸(サンプル回収),-41.6251,-153.9776,海(裏側・アポロ盆地),2024,史上初の裏側サンプルリターン。アポロ盆地内の玄武岩の床
Chandrayaan-3,着陸(ローバー),-69.3676,32.3481,陸(南高緯度),2023,南極域に接近した高緯度着陸
Artemis III: Malapert Massif,着陸候補(有人),-86.0,-2.9,陸(南極域の山塊),2024,高日照率。2024年の9候補地の一つ
Artemis III: Haworth,着陸候補(有人),-87.5,-5.0,陸(南極・永久影クレーター縁),2024,近くに永久影(水氷の可能性)
Artemis III: Nobile Rim 1,着陸候補(有人),-85.4,53.0,陸(南極域),2024,Nobile クレーターの縁
Artemis III: de Gerlache Rim 2,着陸候補(有人),-88.5,-70.0,陸(南極域の稜線),2024,極点に非常に近い
Shackleton Crater,参照(地形),-89.66,129.2,陸(南極点),,直径21km。縁は永久日照に近く、底は永久影
Copernicus,参照(地形),9.62,-20.08,海のふちの大クレーター,,直径93km。約8億年前と新しい(光条をもつ)
Tycho,参照(地形),-43.31,-11.36,陸の中の大クレーター,,直径85km。約1億年前。明るい光条が全球に伸びる
Tsiolkovskiy,参照(地形),-20.4,129.1,裏側(陸に囲まれた小さな海),,裏側では珍しい玄武岩で満たされたクレーター
