lat,lon,average_illumination_percent,permanent_shadow_fraction
-90.0,0.0,10.07,0.6204
-89.9644,-90.0,17.95,0.2222
-89.9644,0.0,17.6,0.3549
-89.9644,90.0,14.9,0.0586
-89.9644,180.0,19.13,0.0556
-89.9496,-135.0,22.93,0.2068
-89.9496,-45.0,26.75,0.0154
-89.9496,45.0,17.58,0.2346
-89.9496,135.0,7.52,0.0772
-89.9288,-90.0,30.68,0.0
-89.9288,0.0,31.46,0.0
-89.9288,90.0,5.84,0.1265
-89.9288,180.0,14.26,0.0
-89.9204,-153.4349,33.45,0.0093
-89.9204,-116.5651,33.8,0.0
-89.9204,-63.4349,26.93,0.0
-89.9204,-26.5651,28.15,0.0
-89.9204,26.5651,34.91,0.0031
-89.9204,63.4349,18.89,0.0
-89.9204,116.5651,0.14,0.8673
-89.9204,153.4349,0.99,0.6111
-89.8993,-135.0,36.91,0.0062
-89.8993,-45.0,23.38,0.0
-89.8993,45.0,34.08,0.0
-89.8993,135.0,0.0,1.0
-89.8932,-90.0,25.09,0.0
-89.8932,0.0,29.56,0.0
-89.8932,90.0,0.23,0.7994
-89.8932,180.0,5.81,0.1111
-89.8874,-161.5651,26.05,0.0
-89.8874,-108.4349,28.12,0.0
-89.8874,-71.5651,22.3,0.0
-89.8874,-18.4349,24.92,0.0
-89.8874,18.4349,33.64,0.0
-89.8874,71.5651,9.29,0.0093
-89.8874,108.4349,0.0,1.0
-89.8874,161.5651,0.0,0.9815
-89.8716,-146.3099,41.61,0.0123
-89.8716,-123.6901,32.34,0.0
-89.8716,-56.3099,19.71,0.0062
-89.8716,-33.6901,19.45,0.0154
-89.8716,33.6901,36.2,0.0247
-89.8716,56.3099,28.08,0.0
-89.8716,123.6901,0.0,1.0
-89.8716,146.3099,0.0,1.0
-89.8575,-90.0,22.4,0.0
-89.8575,0.0,25.68,0.0
-89.8575,90.0,0.0,1.0
-89.8575,180.0,1.76,0.4475
-89.8532,-165.9638,19.98,0.0
-89.8532,-104.0362,25.53,0.0
-89.8532,-75.9638,19.17,0.0
-89.8532,-14.0362,20.79,0.0
-89.8532,14.0362,30.28,0.0
-89.8532,75.9638,2.44,0.3519
-89.8532,104.0362,0.0,1.0
-89.8532,165.9638,0.0,1.0
-89.8489,-135.0,34.61,0.0093
-89.8489,-45.0,13.04,0.0216
-89.8489,45.0,38.58,0.0
-89.8489,135.0,0.0,1.0
-89.8407,-153.4349,44.19,0.0
-89.8407,-116.5651,28.17,0.0
-89.8407,-63.4349,17.4,0.0062
-89.8407,-26.5651,15.53,0.037
-89.8407,26.5651,34.31,0.0
-89.8407,63.4349,19.12,0.0
-89.8407,116.5651,0.0,1.0
-89.8407,153.4349,0.0,1.0
-89.8219,-143.1301,37.76,0.0
-89.8219,-126.8699,30.58,0.0
-89.8219,-90.0,21.36,0.0
-89.8219,-53.1301,7.4,0.0278
