mare_name,center_lat,center_lon,radius_km
Oceanus Procellarum,20.6714,-56.6774,1296.12
Mare Frigoris,57.5923,-0.0064,723.20
Mare Imbrium,34.7244,-14.9086,572.76
Mare Australe,-47.7705,91.9854,498.42
Mare Tranquillitatis,8.3487,30.8346,437.87
Mare Fecunditatis,-7.8350,53.6691,420.18
Mare Nubium,-20.5894,-17.2872,357.25
Mare Serenitatis,27.2879,18.3596,337.14
Mare Crisium,16.1774,59.1037,277.96
Mare Insularum,7.7920,-30.6402,255.97
Mare Humorum,-24.4785,-38.5716,209.83
Mare Smythii,-1.7088,87.0495,186.98
Mare Marginis,12.7019,86.5153,178.82
Mare Cognitum,-10.5308,-22.3144,175.00
Mare Nectaris,-15.1852,34.6021,169.69
Mare Orientale,-19.8655,-94.6703,147.08
Mare Ingenii,-33.2458,164.8268,141.10
Mare Moscoviense,27.2816,148.1225,137.79
Mare Undarum,7.4912,68.6589,122.42
Mare Vaporum,13.2000,4.0900,121.23
Mare Humboldtianum,56.9221,81.5428,115.39
Mare Anguis,22.4268,67.5753,72.99
Mare Spumans,1.3023,65.3033,71.57
