date,distance_km,apparent_diameter_arcsec,phase_angle,illumination_fraction
2021-08-27,398292.6,1799.5090,53.7284,0.7958
2021-08-28,401315.9,1785.9530,64.8126,0.7128
2021-08-29,403290.3,1777.2090,75.7420,0.6232
2021-08-30,404053.9,1773.8500,86.5881,0.5298
2021-08-31,403537.3,1776.1210,97.4304,0.4353
2021-09-01,401769.5,1783.9360,108.3499,0.3426
2021-09-02,398877.3,1796.8720,119.4230,0.2544
2021-09-03,395077.4,1814.1540,130.7143,0.1738
2021-09-04,390660.8,1834.6640,142.2658,0.1045
2021-09-05,385967.7,1856.9720,154.0705,0.0503
2021-09-06,381355.2,1879.4330,165.9412,0.0150
2021-09-07,377157.9,1900.3490,175.0121,0.0019
2021-09-08,373649.8,1918.1910,166.6760,0.0135
2021-09-09,371013.1,1931.8230,154.0347,0.0505
2021-09-10,369324.3,1940.6570,140.9336,0.1118
2021-09-11,368559.4,1944.6840,127.6858,0.1944
2021-09-12,368620.2,1944.3630,114.4097,0.2934
2021-09-13,369370.9,1940.4120,101.1769,0.4031
2021-09-14,370675.3,1933.5830,88.0346,0.5171
2021-09-15,372425.7,1924.4960,75.0142,0.6293
2021-09-16,374555.0,1913.5550,62.1393,0.7336
2021-09-17,377033.2,1900.9770,49.4331,0.8251
2021-09-18,379849.6,1886.8820,36.9278,0.8997
2021-09-19,382988.4,1871.4180,24.6854,0.9543
2021-09-20,386403.9,1854.8760,12.9228,0.9873
2021-09-21,390002.0,1837.7630,4.5892,0.9984
2021-09-22,393633.8,1820.8070,12.4450,0.9883
2021-09-23,397100.0,1804.9140,23.4888,0.9586
2021-09-24,400166.6,1791.0820,34.5890,0.9116
2021-09-25,402587.2,1780.3130,45.5732,0.8500
2021-09-26,404129.1,1773.5200,56.4460,0.7764
2021-09-27,404598.2,1771.4640,67.2545,0.6933
2021-09-28,403862.7,1774.6900,78.0649,0.6034
2021-09-29,401871.6,1783.4830,88.9546,0.5091
2021-09-30,398669.8,1797.8060,100.0056,0.4131
2021-10-01,394406.0,1817.2420,111.2988,0.3184
2021-10-02,389333.1,1840.9210,122.9064,0.2283
2021-10-03,383798.4,1867.4680,134.8816,0.1472
2021-10-04,378219.5,1895.0140,147.2437,0.0795
2021-10-05,373045.6,1921.2980,159.9370,0.0303
2021-10-06,368704.2,1943.9200,172.4567,0.0043
2021-10-07,365542.6,1960.7330,171.9373,0.0049
2021-10-08,363775.8,1970.2570,158.8660,0.0336
2021-10-09,363457.1,1971.9840,145.2318,0.0893
2021-10-10,364482.0,1966.4390,131.5736,0.1682
2021-10-11,366624.4,1954.9480,118.0468,0.2649
2021-10-12,369591.7,1939.2530,104.7381,0.3728
2021-10-13,373083.5,1921.1020,91.6925,0.4852
2021-10-14,376837.7,1901.9630,78.9249,0.5960
2021-10-15,380656.0,1882.8850,66.4301,0.6999
2021-10-16,384408.7,1864.5030,54.1929,0.7925
2021-10-17,388023.8,1847.1320,42.1967,0.8704
2021-10-18,391464.6,1830.8970,30.4317,0.9311
2021-10-19,394704.3,1815.8690,18.9129,0.9730
2021-10-20,397703.2,1802.1760,7.8336,0.9953
2021-10-21,400392.6,1790.0710,4.9504,0.9981
2021-10-22,402667.0,1779.9600,15.3627,0.9821
2021-10-23,404387.8,1772.3860,26.2061,0.9486
2021-10-24,405394.3,1767.9850,37.0200,0.8992
2021-10-25,405522.6,1767.4260,47.8006,0.8359
2021-10-26,404627.4,1771.3360,58.5912,0.7606
